Countries,Abb,Exports from Uganda 2014,Exports from Uganda 2015,Exports from Uganda 2016,Exports from Uganda 2017,Imports into Uganda 2014,Imports into Uganda 2015,Imports into Uganda 2016,Imports into Uganda 2017
Austria,AT,100055,60365,86995,141953,8154240,8130610,6737812,5462211
Belgium,BE,60646188,64657247,53886136,68868389,61500750,50294862,51979968,46829774
Bulgaria,BG,1119577,956704,1205222,2036645,1032455,1652018,537774,2414204
Croatia,HR,63604,10698,12682,13240,24413,9664,35140,110721
Cyprus,CY,216247,234621,402835,332687,1083038,1225396,1270364,1098689
Czech Republic,CZ,193321,291390,336729,882181,7884947,10213640,33149860,9724690
Denmark,DK,4361066,4471877,1723399,1235266,7238540,16517165,9256530,10948931
Estonia,EE,284,2312,6316,163659,310885,399579,22149,411752
Finland,FI,1914389,1228530,1748836,2306635,3205323,4541622,3670145,2979600
France,FR,17166914,14306624,10175437,11168874,64971820,52701603,47239013,60593360
Germany,DE,90558572,89709813,85606640,100367946,95289211,80702048,95064502,105320001
Greece,EL,3797848,4147305,3258940,4848504,553337,444135,1195139,1771987
Hungary,HU,1190166,922994,826152,778020,6670592,7648413,9397854,5320003
Ireland,IE,174761,158666,272535,108736,16684796,15401905,13856684,25673515
Italy,IT,87075518,109489457,98713730,128167354,38181036,44369436,63017248,61091906
Latvia,LV,12977,10807,227613,529569,2388050,1886672,5917920,225076
Lithuania,LT,0,224800,745419,453704,342184,1789895,460103,354733
Luxembourg,LU,0,12,83,5428,1228639,2058944,643527,1183083
Malta,MT,14050,197316,67734,149667,4166987,3115722,764058,475988
Netherlands,NL,95972485,98524096,94242123,86832121,52896102,55678116,63457661,61376254
Poland,PL,12321315,14472738,10654503,9317867,22952921,32847797,14354400,14385283
Portugal,PT,13642636,18549271,21949967,27609373,2028355,2615433,2345308,3989440
Romania,RO,6475671,6459522,6766206,7405678,1382863,762860,1876625,593134
Slovakia,SK,12582,159765,13141,141537,3132607,2845990,1098753,1710802
Slovenia,SI,221247,259516,179032,503345,419299,171390,1939060,2942632
Spain,ES,32877449,33959897,29015048,35810486,9808974,16291084,18311096,14347348
Sweden,SE,3445496,6579378,6366176,8163256,11960050,10878276,7695184,11730793
United Kingdom,UK,19147107,21691151,17776961,16970981,55621274,65003805,53792966,50283757
